Name,Description,Average Score,Number of Reviews
Timeship,"From the back of the box:

&quot;Timeship is an innovative an imaginative role playing game that allows players to adventure in strange eras and places as themselves, not as fictional characters who have been created by a few dice rolls. An elegantly simple system starts players at average ability levels, then allows each player to evaluate him or herself by improving some and reducing others. The result is each player creates a gaming character that mirrors both their positive and negative abilities, based on their own judgment.&quot;

and:

&quot;Timeship comes complete with a rule book containing all of the information necessary to get the players ready, well organized rules of play and THREE Time Capsule Adventure Episodes; a set of maps for the Time Capsules, a pad of player character sheets and a Timelord Screen containing the most commonly used charts and tables.&quot;",4.42857,7
To Challenge Tomorrow,"To Challenge Tomorrow:  Role Playing Past, Present, and Future Science-Fiction and Historical Rules

User summary:

To Challenge Tomorrow 1st Edition presented a surprisingly complete and modern role-playing game with a focus on detail and realism.  The system inherited many aspects of the Ysgarth fantasy system, including a classless Skill system.",0,0
Tokyo NOVA,"User summary:
This is the core rulebook for the second edition of the Japanese RPG Tokyo NOVA. Rules have been revised, and specifically the character creation system was overhauled and made faster.
The RPG uses tarot cards as a randomizer and for character creation.",0,0
Toon,"From the back of the book:

&quot;TOON is a different roleplaying game. Remember those great Saturday morning cartoons? Now they're back - and you're the star!

TOON lets you be a rabbit, duck, mouse, moose, woodpecker, wombat, crocodile, caveman... whatever you want.

In TOON, anything can happen, and nobody ever gets killed.  Been punched? Blown up? Steamrollered? Don't worry - you'll bounce back in the next scene, ready for more!

This book includes quick, simple rules, plenty of silly charts and tables, and lots of cartoon adventures - a joker's dozen!

Ready to get silly? Get in TOON!

This Deluxe Edition of TOON includes all the material from the original version, plus everything from Toon Silly Stuff, Son of Toon and Toon Strikes Again - and lots of brand-new material, including two new Feature Films!&quot;",7.05645,62
Top Secret,"User Summary

TSR's take on Bond and the super spy genre. The box set includes a 68 page rule book outlining character creation, equipment, and combat and a 32 page introductory module entitled &quot;Operation: Sprechenhaltestelle - Code Name: Pisces&quot; along with 2 20-sided dice.

Character creation consists of 6 primary stats (Physical Strength, Charm, Willpower, Courage, Knowledge, and Coordination) and 8 derived stats (Offense, Deception, Evasion, Deactivation, Life level, Movement Value, Hand-to-Hand Combat Value, and Surprise Value). Characters are further detailed with skills in specific knowledge areas.

Combat resolution is handled by dice and modified by situations. The rules include specific handling for boxing, knife fighting, and martial arts as well as hit location and effects.",6.91667,27
TORG,Boxed set of the basic rules and support items for TORG: Roleplaying the Possibility Wars.,7.08594,64
Trail of Cthulhu,"&quot;That is not dead which can eternal lie. And with strange aeons, even death may die.&quot;

        - The Necronomicon 



        You uncover mysteries in dusty libraries and bloody crime scenes. You walk the mean streets of Chicago or hack through the jungles of the South Pacific. You battle vile cults, or recoil in terror at the alien enormities they worship. You follow the clues wherever they lead, whatever the cost in life or sanity. But do you dare to follow... the Trail of Cthulhu.


Trail of Cthulhu is a complete game of investigative horror set in the 1930s based on the work of HP Lovecraft. The game uses an adapted version of the GUMSHOE system which offers a laser-like focus on investigation, with characters driven to explore and investigate, even at the expense of their own health and sanity.

Trail of Cthulhu features:


     Sanity which measures your blissful ignorance of the true nature of reality, and Stability which defines how robust your mental health is.
     Investigative abilities such as Cop Talk, Interrogation and Occult which help you find the awful crypt, and maybe even tell you what you might find there.
     Drives such as In the Blood and Arrogance to get your character into that crypt at night.
     General skills such as Sense Trouble, Filch and Scuffling to get you out again.


Keepers are offered:


     Rules you can tune to Purist cosmic despair, or to lurid two-gun Pulp.
     Comprehensive support for adventure and campaign creation, as well as suggestions for improvisation. 
     Three exciting campaign frames, for tweedy academics, jut-jawed G-men, or grimy traffickers in the eldritch, plus &quot;The Kingsbury Horror&quot; , a complete introductory adventure. 
     Techniques to run the game and maintain the atmosphere of mystery and malice.


A new view of the Mythos is revealed:


     Gods, tomes, and magic, presented with mystery and drama in mind, and including Cthulhoid lore never before revealed in any game .
     Alien races, including their spoor, their killing techniques, and the forensic clues their victims reveal. 
     The original grim horror setting - the 1930s - set against depression, looming war and totalitarianism.",8.0019,263
Transhuman Space,"From the back of the book:

&quot;What is 'human'?

In the year 2100, humanity faces its greatest challenge: settling the vast reaches of the solar system. Spacegoing transnationals develop technologies that governments fear to explore, while bizarre posthuman cultures bloom like exotic flowers. Will 'human' cease to have any meaning in a world of genetic engineering and digital consciousness?

It is a time of wealth and adventure, of transformation and terror - the age of Transhuman Space!

Transhuman Space is the first in a comprehensive line of sourcebooks exploring a transhuman vision of the 22nd century, where biology and nanotechnology merge with interplanetary adventure.&quot;",7.56482,54
Traveller,"From the Box:
Welcome to the exciting universe of the far future!  Who knows what the future holds?  With Traveller, you can find out as you personally journey far into the depths of interstellar space and to the surface of alien worlds.  With Traveller, you can choose your own destiny and attempt to fulfill it in a life of adventure, power, and fortune.  With Traveller, the universe of the future is yours.

Traveller is a science fiction role-playing game of the far future.  As science fiction, it realistically approaches the the problems of future society, and portrays what the coming millennia may bring.  As a role-playing game, it enables each individual player to participate in the action, the suspense, the dangers, and the rewards of every adventure mission.  Set in the far future, every scientific advance is possible, allowing the opportunity to understand and utilize the marvels of ultra-sophisticated technology.

Specific rules topics in this three-volume Traveller set include --

CHARACTERS-- Individual characters, the alter-egos of the game players, may be generated and recorded.  Special rules cover skills, weapons, combat, material benefits, experience, in prior careers, and rank.

STARSHIPS-- Complete rules cover the design and construction of starships, including how much they cost, what profit can be made in commercial service, and rules for combat.

WORLDS-- Rules cover the characteristics of alien worlds, from simple facts of atmosphere and size to the types of animals and people to be found on them.

SPECIALS-- Additional rules cover special aspects of future society, such as trade and commerce, and special psionic powers.

This basic rules set provides all necessary information for understanding the Traveller game system, generating player characters, creating futuristic science fiction adventures, and playing Traveller.  Additional books of rules, supplementary information, and adventure scenarios are available separately for advanced players.

Welcome to the exciting universe of the far future -- welcome to the universe of ... Traveller(tm).",8.02099,181
2300 AD,2300AD is a hard science-fiction role-playing game set in the early years of the 24th century. It is a revised renamed second edition of Traveller: 2300.,7.28917,60
Tri-Stat dX,"From the back of the RPG:

Infinitely flexible and eminently scalable... is the ultimate tool for running any adventure you can imagine - any genre, setting, theme, mood, time period, or power level.",6.34783,23
Triangle Agency,"From the back of the book:

Triangle Agency is a tabletop role-playing game and exciting new job opportunity for humans like you.

Investigate supernatural Anomalies, wield tremendous power, and take advantage of our comprehensive life insurance benefits all from the comfort of your favorite table!

This book includes everything necessary for you and a group of friends to experience the chilling horror, wacky comedy, and emotional truth that can only come from working for Reality&rsquo;s Most Trustworthy Corporation, 333 years running.",7.6,5
Tribe 8,"Publisher blurb:

Tribe 8, Dream Pod 9's third roleplaying game, is a departure from our focus of hi-tech science-fiction and Japanese-style robots. Tribe 8 is a world of dream magic, supernatural horrors and Godlike figures called Fatimas &mdash; all painted on the backdrop of the ruins of the modern world.

Tribe 8 is a roleplaying game set in a tribal future where Player Characters are blessed with mystical insight and marked by destiny. They must struggle to build a new society from the ashes of the old, fighting against alien horrors and the Fatimas, avatars of the Goddess Herself. The Tribe 8 rulebook contains everything needed to start a campaign, including world background, full character creation and interaction rules, and a new and dynamic system for Synthesis, the magic of Tribe 8.",7.37037,27
Pulp hero,"From the back of the book:
&quot;Pulp Hero discusses and describes the Pulp genre for gaming, covering everything from masked crimefighters, to globetrotting adventurers, to daring pilots, to eerie menaces..and beyond&quot;

A great overview of the pulp genre even when used with other game systems.",8.11667,12
Trinity,"In the 22nd century, humanity has ventured to the stars. Yet amid the wonders of this new age, makind faces many dangers from without and within. Alien races, fractious colonies, contending governments, ruthless corporations and aberrant mutations all vie for supremacy. At the center of the conflict stands a new breed of humans - men and women with psychic powers - whose actions will determine mankind's ultimate fate.",6.727,50
Troika!,"From publisher blurb:

Troika! Numinous Edition is the new edition of our popular Troika! RPG, a complete science-fantasy RPG full of critically acclaimed writing, built-in wonder and room for everyone at the table to go wild!

Inside the book you will find:

    A full automated character creation system that generates exciting starting points for players to build upon
    Weighty lists of spells and enemies to encounter
    A baked-in plane-hoping setting which draws you into the world and allows you space to build upon its sturdy foundations",7.87297,37
Trollbabe,"From the publisher's web page:

&quot;What's a trollbabe?

Let's start with size. We're talking 6'6&quot; at the least, with a build to match - a trollbabe is a big woman, no little aerobicized butts allowed. All trollbabes are strong, easily the match of the strongest humans, and ranging up from there. They can run all day and heft weapons and pull bows that would wear out a human in moments. Trollbabes have primarily-human facial features, and most lack the characteristic trollish body hair and posture. Their trollishness is most obvious in their horns, which range from short goaty pointy horns to big curling sheepy horns that include a ridge over their brows. Big hair is also common; think 80s rock-and-roll.

Why play Trollbabe?

Because a trollbabe is neither troll nor human - she is functionally apart, yet tied into the fates and interactions of both peoples. Trolls - big, shaggy, horned, grotesque, people-eating monsters - and humans - plain old humans - simply don't get along, and their conflicts are escalating. The trollbabe may be perceived as an automatic friend or an automatic foe by both humans and trolls, yet her perspective is not identical with either one. Her presence cannot help but destabilize the status quo in any particular situation, which makes for an interesting life. Ultimately, she may also become the means of resolution.

Trollbabe is a role-playing game by Ron Edwards, creator of Sorcerer and Elfs, and founder of Adept Press. It features art by some of the great talents in the role-playing industry today: Veronica V. Jones, Ben Morgan, Rod Anderson, Jeff Diamond, and James V. West.&quot;

The revised and expanded Trollbabe Second Printing from 2009 is a 108-page hardcopy and PDF.",7.53704,27
Trophy RPG,"Publisher's blurb:

An anthology of 58 original two-page RPG adventures made by a diverse, international collective of creators[.]
...
Delve into mythic underworlds, shiver through haunted space ships, schmooze with high society. You'll never go unequipped for game night with this eclectic host of adventures in hand.",7.8125,8
True20,"From the publisher's website:

Worlds of Imagination &amp; Adventure Await You!

With True20 Adventure Roleplaying you embark on journeys of the imagination, with heroes and stories you and your friends create. This book tells you everything you need to know to play an exciting adventure roleplaying game: how to create your own heroes, how to handle action and conflict, how to narrate adventures, and how to keep it all fair and fun.

True20 simplifies and streamlines the adventure roleplaying experience: everything is resolved using the same core system and all you need is a single 20-sided die to play! There's no bookkeeping of points, whether hit points, power points, or experience points. Game play is fast and furious thanks to innovations like the Toughness save damage system, based on the award-winning Mutants &amp; Masterminds RPG. You can use True20 to model nearly any genre, from fantasy and horror to modern action and science fiction.

This Revised Edition of True20 Adventure Roleplaying includes the entire contents of the True20 Companion. That means you get the following great resources right in the core rulebook for the first time:

Role Creation: Build your own heroic roles for True20, or just modify the roles of adept, expert, and warrior to suit the style of game you want to run. With the easy-to-use system you can create any heroic role you want, or even eliminate roles altogether, making each character's progression unique!

Genre Development: The Revised Edition also presents information on four popular genres of roleplaying: fantasy, science fiction, horror, and modern action, with guidelines, suggestions, and optional rules for using True20 Adventure Roleplaying to create heroes and tell stories in those genres.

All this and more awaits you. If you want a fast, simple, and fun game system that's still familiar to players of the world's most popular RPGs, if you want a vehicle for traveling to new worlds of adventure, then True20 is for you!

True fun, true excitement, true adventure...",7.02632,19
Truth & Justice,"&quot;A man in crazy pajamas atop a skyscraper rains laser death down on the streets. He's laughing as he does it. 
Below, fires bloom for the news cameras. Reporters duck debris as they yammer on about demands and manifestoes and terror.

Meanwhile, in the background, the screams of scorched innocents melt into the wail of sirens.

It makes me angry. My cheeks burn with it -- or that just might be from the wind.

The madman grows closer and closer, impossibly fast. His eyes widen as he lifts his weapon in my direction. He won't make it in time.

My hands tighten into fists as I brace for impact.

I have a set of crazy pajamas of my own.&quot;

Superhero stories celebrate heroism and &quot;mad, beautiful ideas&quot; in adventurous, stylish, and fun ways; Truth &amp; Justice (T&amp;J) is the superhero RPG from Atomic Sock Monkey Press dedicated to just that. Fast, fun, and streamlined, T&amp;J:

Encourages the sense of freewheeling imagination and improvisation that suffuses superhero media. 
Offers concepts to bridge the gap between comic book stories and superhero gaming sessions. 
Stresses the importance of a hero's motivations, personal ties, and behavior alongside their more-than-human abilities in transcending limitations and overcoming obstacles. 
Focuses on how capable the character is from the context of a superhero story-game rather than strictly simulating reality. 
Emphasizes quick and flexible character generation. 
T&amp;J contains:

An exploration of superhero tropes. How to approach them to help get what you want out of superhero roleplaying, whether you're a player or a GM, and advice for using them inside a game.

A complete game system. The Prose Descriptive Qualities (PDQ) System from Dead Inside and Monkey, Ninja, Pirate, Robot: the RPG has been refined for T&amp;J, streamlined and chromed-up for superheroic flexibility, simplicity, and speed. Different levels of task resolution, suitable for any type of situation, let you detail the encounters that really matter.

Three sample settings. Become the champions of Drakesville when its signature hero gets promoted to the majors in Second-String Supers. Navigate the twisty path between altruism and greed in the futuristic world of SuperCorps. Discover who you truly are and change the world in Fanfare for the Amplified Man. Each setting comes with adventure seeds and introductory scenarios. 
Are you ready for some truth &amp; justice? Grab your cape, cowl, and utility belt and go!",6.89286,14
Tunnels and Trolls,A collection of new and alternate rules/clarifications for the 1st-3rd editions of Tunnels &amp; Trolls. Some of this material got incorporated into the core game with 4th edition. Originally published in 1975 as a 9-page pamphlet. A 1976 edition added 4 pages of worldbuilding advice and spell clarifications.,0,0
TWERPS,TWERPS (The World's Easiest Role Playing System) is a simple RPG where characters have only one attribute and a Profession (Class).  The Basic Rules were sold in a zip-lock bag and provided a simple fantasy setting to get you started.,6.54545,11
Twilight 2000,"From the Player's Manual:

You are a survivor. Whether soldier or civilian, you have experienced the horrors of World War III, but you refuse to let them break you. No matter what, you are determined to live another day. And one day, maybe, just maybe, find a way to fix this broken world.

Twilight: 2000 is a roleplaying game about survival in mankind&rsquo;s most desperate hour. In the year 2000 of a history that took a different turn from our own, the world is ravaged by war.

Yet, in this very bleak world, there is still hope. Mere survival is not enough. In the midst of utter destruction, you can start to build something new. Rally more people to your ranks. Stake a claim and protect it. And maybe, if you live long enough, start turning the tide.",8.08889,45
Twilight Imperium: The Role-Playing Game,"From the back of the core book:

IT IS THE DAWN OF A NEW AGE...
When the Twilight Wars broke out across the galaxy, the old Imperium was destroyed and civilization was all but decimated. Impoverished and weakened, the Great Races had no choice but to retreat back to their original home systems to slowly rebuild their economies and wait...until now.

A TIME OF DANGER, INTRIGUE AND OPPORTUNITY...
While the Great Races maneuver politics and space fleets, trying to take control of the Imperium, the galaxy is exploding with opportunity. Smugglers, diplomats, scholars - anyone with a dream and the courage to fight for it, is grabbing this chance for fame, power, and wealth.

WHEN THE FATE OF AN EMPIRE WILL BE DECIDED!
In TWILIGHT IMPERIUM: THE ROLE PLAYING GAME, you can join the ranks of those seeking their fortune in this new age. Will you be a wily trader, a seductive assassin, a hard-boiled mercenary, or a promising young politician? The choice is up to you. What role will you play in the founding of an empire?

TWILIGHT IMPERIUM: THE ROLE PLAYING GAME presents a richly detailed universe full of action, mystery, and danger. The setting provides a unique brand of political space opera, dynamic and constantly evolving. This game is based on the universe presented in the bestselling and critically acclaimed board-game Twilight Imperium, created by Christian T. Petersen.

TWILIGHT IMPERIUM: THE ROLE PLAYING GAME is new complete role-playing game, and includes:

-Simple ready-to-play rules system
-Exhaustive descriptions of the six Great Races
-Detailed overview of more than 40 alien planets
-An introductory adventure perfect for new players",5.2,5
Ultraviolet Grasslands,"From Kickstarter project:

The UVG has a 140-centimeter (55-inch) folded long map.",0,0
Underground,"[From the back cover.]

2021--Peace or Pieces?

Paraguay was bad, but nothing could have prepared you for Los Angeles. Back in the jungle it was still a tribe thing--you wanted to kill them, they wanted to kill you; no one knew why. But here, death isn't good enough. Here, they want you to hurt first. The sets, the '30s, the fly-jackers, the Estro-Gin addled punks--the only things standing between you and a body bag are your trusty GCS DW 770/g and designer genotype. You'd be surprised how often a skin that can shrug off .44 caliber loads comes in handy.

One day, the punks will identify their real enemy and begin the serious violence--bloodshed of the people, by the people, and for the people. Until then, it's time to run a check and take this war down into the Underground.",7.14286,21
Unisystem,"From the introduction:

Love, rage, sorrow, justice, and revenge: these are the core concepts behind the world of James O&rsquo;Barr&rsquo;s The Crow. In his classic tale of murder and divine retribution, the author created a mythology that touched the minds and hearts of millions of people, and has become an integral part of western mythology, as well as a veritable staple of the Goth subculture wherever one goes. And there was a great deal present that would appeal to the Goths out there. The world of The Crow is dark, foreboding, sinister, and filled with high peaks, cathedral-like buildings, industrial dance clubs, fetish bars, and urban decay. And yet, underneath it all is the central, basic theme that life is worth living and love is worth feeling. While many people see Goths as &ldquo;tragically hip&rdquo; and ultimately depressing people, beneath the black clothes and pale makeup is a core of passion and rebellion of a sort that doesn&rsquo;t come from people who are truly depressed. Goths are dismayed with the state of the world as they see it, but on the whole they love life and want to savor every last minute. The Crow is a symbol of dealing with tragedy and the darker side of life, and moving on to becoming someone better, to living a better life in a better world.

User summary:

This peculiarly-named document provides material to implement James O'Barr's &quot;The Crow&quot; as a component in any Unisystem campaign.",0,0
Universalis,"Winner of the Indie-RPG &quot;Most Innovative Game&quot; game award in 2002, this revised edition makes the game more accessible with enhanced guidance on how to play and loads of fan-created content.

You and your fellow players will create a complete story, introducing characters and taking turns guiding them through a world you create while developing the plot as you play. You'll use the game's unique resource system to compete for the privilege of telling the story the way you want it told while simultaneously collaborating to create the best story possible. Suspense comes from never knowing what plot twists the other players will throw at you.",7.68421,57
Universe,"From the front cover:

You are the master of your destiny, venturing across the sea of stars meeting the challenge of alien worlds...

UNIVERSE

The Role-Playing Game of the Future by SPI

From the back cover:

Seek your own destiny among the stars in quest of wealth, knowledge, and glory. Plunge boldly into adventures on unexplored planets, confronting the unknown armed with your own unique skills and the marvels of 25th Century technology. Designed as the definitive game of a whole generation of science-fiction adventure products, Universe is now complete in this one book, with a huge full-color Interstellar Display and four pages of color adventure logsheets included. Although we are continuing a program of fascinating supplemental material, you need nothing more than this book and two decimal dice to play a lifetime of complete and enjoyable games.",6,21
Unknown Armies,"From the publishers website:

Unknown Armies 2nd Edition
A Roleplaying Game of Power and Consequences

What will you risk to change the world?

The acclaimed RPG of modern occult intrigue returns in a stunning new hardcover edition. Completely reorganized, largely rewritten, and jam-packed with new art, the second edition of Unknown Armies isn't just better. It kicks metaphysical ass!

We've remixed the book based on the level of campaign you want to play: Street, Global, or Cosmic. At street level, you're outsiders to the secret world of magick, ordinary people entering a land of mystery and peril. At global level, you're mojo-wielding cabalists in the occult underground, pursuing your arcane agendas and plotting against your rivals. At cosmic level, you're in tune with the cosmos itself, fighting to shape the next incarnation of reality. Background material is divided up as well, so new players in a street-level campaign only read what the GM wants them to know.

But the beats don't stop there:


     Much more information for new players, to get them into the mindset of the game and help them make better characters and stronger campaigns.
     New character-creation options, including Trigger Events, Paradigm Skills, and power levels scaled to match the level of campaign you're playing.
     Numerous rules tweaks, including a new initiative system, Fuzzy Logic skill checks, player-directed combat modifiers, amped-up martial arts rules, a new experience system, and more, all dedicated to upgrading UA's innovative percentile system into a lean and precise tool for fast play and player empowerment.
     More magick for non-adepts: Authentic Thaumaturgy, new rituals and artifacts, and revised versions of Proxy Magick and Tilts allow the freewheeling use of symbolic, sympathetic magick by anyone with the will to make it happen.
     Twelve schools of magick (up from seven in UA1) for obsessed adepts, including revised versions of published schools (Bibliomancy, Personamancy, and Urbanomancy) and two new schools (Videomancy and Narcotic Alchemy).
     Fourteen avatars (up from eight in UA1) for archetypalists, including revised versions of published avatars (The Messenger, The Mother, The Mystic Hermaphrodite, and the True King) and two new avatars (The MVP and The Warrior).
     More resources for the GM, including specific guidance on combat, wounds, skill checks, campaign building, and other critical issues.
     New cover art and design, new interior art and design, and a hardcover binding to keep this fat bastard of a game in line.",7.98108,111
Usagi Yojimbo Role-Playing Game,"Using the Fuzion system, this book brings the world of Usagi Yojimbo to roleplaying.  Usagi is a long-running, award-winning high-quality comic book series by Stan Sakai, who provided the illustrations.

The book is written for both comic fans (who may not know RPGs) and RPG fans (who may not know Usagi Yojimbo), and is very thorough.  It contains rules, setting, game mastering advice, and over twenty adventures.  There is a brief appendix on how to run the game using the Fudge rules, and an episode of the comic entitled &quot;Hebi&quot;, which was previously only published in an anthology, not in a regular Usagi comic.",5.94444,18
Uuhraah!,"User summary:

Uuhraah! is a role-playing game set in a prehistoric world featuring cavemen and dinosaurs. The rules focus primarily on a simple combat system.

Sessions were intended to last less than an hour; campaigns were envisioned to be only a few sessions in length.",0,0
Vaesen,,,
Valley of the Pharaohs,"From the cover:

&quot;The Valley of the Pharaohs includes rule book, color fold-out map, and over a dozen additional maps, floor plans, and diagrams.

Relive the wonders and mysteries of ancient Egypt in this exciting new historical Role-playing game.

$12.00
Ages 12 to Adult.&quot;",5.75,4
Vampire: The Dark Ages,"From publisher blurb:

The year is 1242. The Mongol army crushed Baghdad and then Russia under its heel, and then moved on to devastate Poland and Hungary. The Holy Roman Empire stood to war with the Papacy. The second Lombard League wielded the word of the Pope and fought off Frederick II.

The vampire War of Princes rages. Patricide looms. Young powers look up the ladder to the next rungs, and see stagnation and hypocrisy. They see targets. When they look down, they see humanity. They see a power that could change everything. They see mortals organizing into universities and empires.

In the mortal world of 1242, power shifted at the rate an army marched. For the undead, power shifts faster than a fire overtakes a haven. To the Damned, power flows as fast as blood from an ancient heart.

Vampire 20th Anniversary: The Dark Ages is a storytelling game of horrific power.

What You'll Find Inside

     Thirteen vampire clans, and nineteen bloodlines.
     All three castes of the dying Salubri: the Warriors, the Watchers, and the Healers.
     Bloodlines from every edition of Vampire, and from all over the known world.
     A new approach to Tzimisce Koldunic Sorcery.
     An &quot;apocrypha of the clans&quot; featuring fiction, lore, Roads, and alternative castes within the clans of Caine.
     A complete game in one book, which does not require Vampire 20th Anniversary Edition.
     New full color original art by Mark Kelly, Kieran Yanner, Brian Syme, Andrew Trabbold, and other fantastic artists, as well as a handful of classic B&amp;W pieces carefully chosen from the earlier editions.",8.40909,11
Vampire: The Masquerade,"From the Publisher's Website:

Who's it for? This book is for all of the White Wolf fans who have lived, loved, and taken the long road with us for the past two decades. For the diehards who never gave up, never stopped believing and kept the World of Darkness alive. This is for all the saints, sinners, miscreants, punks, poets and outcasts who have been with us all this time. This is their original Masquerade in all its glory, and our way of saying thank you and welcome home.

What's in it?


     All thirteen original clans, clan variants and bloodlines, with their signature Disciplines updated from the Vampire: The Masquerade Revised tabletop rules



     Rules for character creation and advancement from Neonate to Methuselah



     All the Disciplines from level one through nine



     Updated setting to the modern nights



     New full color original art by Tim Bradstreet &amp; other classic &quot;Masquerade&quot; artists



     An &quot;open community play test&quot; development process",8.11933,75
Vampire: The Requiem,"Welcome to the Danse Macabre
Since time immemorial, the Kindred - vampires - have stalked their prey, unseen by the mortal masses. Their world is a xenophobic nightmare, populated by tyrannical despots, wildeyed heretics, bloodthirsty rogues and scheming manipulators, all unified by the mysterious curse of vampirism. And you would join them? You would live forever? To play the lusts of mortals like a violinist plays the strings? Then beware, the price is steep to enter the neofeudal hell that the Damned have wrought.

Welcome to Undeath
Join the revival of the Storytelling tradition. Vampire: The Requiem invites you to tell your own stories set within the world of the Kindred. This book includes rules for using vampires in World of Darkness chronicles, covering everything from the five clans to covenants to Disciplines, bloodlines, storytelling advice and a complete spread of game systems governing the undead. Hardcover. Requires the World of Darkness rulebook for play.",6.92109,128
Victorian Adventure,"From the RPG Summary: A British RPG set in 19th century England at the height of the Empire. The first edition rules (1983) were fairly simple but included a large amount of background information on the setting and times. The second edition (1985) expanded the rules considerably.

User Note: the Handmade Box Sets were created in very limited numbers by the designer, and included a map of London, a GM Screen, dice, cardboard cutouts, and the 2nd Edition rules.",0,0
Victorian Age: Vampire,"Victorian Age: Vampire is a supplement for the Vampire: The Masquerade RPG, which provides detailed info on running campaigns in the Victorian era. Written in a &quot;gothier-than-thou&quot; style, it is still considered useful material for GMs.",7.06667,15
Victorian Gothic,"Publisher's blurb:

A gothic horror game in the gaslight era. Play a Hunter, Investigator, Psychic, Spiritualist or Sorcerer. You have come across your First Encounter with the supernatural, and you have found a new path in life. Unfortunately, this path has many dark shadows, mysteries and hidden dangers that may lead you to an unwanted end. An ominous Miasma has risen up, the undead have awakened, and werewolves prowl and hunt the full moon nights. Will you break free of the your curse, or be devoured by it?

User summary:

Victorian Gothic uses the &quot;Epic Dice System&quot;, a genre-generic process resolution methodology.",0,0
Villains and Vigilantes,"User summaryThis is an updated version of the 1982 V&amp;V rulebook with some rules additions and new artwork.

It includes:


     Character creation rules
     Combat rules
     Advice on creating a campaign
     Background information (The Government &amp; Being a Superhero)
     Gamemaster advice
     Bandidos y Vigilantes - Mexican Wrestling Moves for V&amp;V",7.33333,6
Violence,"&quot; &quot;Violence: The Roleplaying Game of Egregious and Repulsive Bloodshed is a short, 32-page roleplaying game written by Greg Costikyan under the pseudonym &quot;Designer X&quot; and published by Hogshead Publishing as part of its New Style line of games. Violence is a parody of conventional dungeon-bashing games, being set in a contemporary metropolis where player characters run from room to room killing the occupants and stealing their stuff. It is relentlessly user-hostile, taking time out to insult the reader wherever possible (it opens with the words &quot;Welcome to Violence, you degraded turd&quot;), and uses a mechanic whereby experience points can be bought for hard cash from the designer or publisher. Despite innovative games design and exhaustive lists of equipment and weapons (including both belt and orbital sanders), monster types, and possible scenarios, it is largely and deliberately unplayable.

Cover art was by Clint Langley. A Spanish language edition exists.

In August 2005, Costikyan released Violence under a Creative Commons license (Costikyan 2005) and made it available for download.

Violence was part of a series experimental/alternative role-playing games published by Hogshead Publishing. Other games in the series included the award-nominated The Extraordinary Adventures of Baron M&uuml;nchausen, Pantheon, and Puppetland/Powerkill.&quot;&quot;

Source: Wikipedia, &quot;Violence:_The_Roleplaying_Game_of_Egregious_and_Repulsive_Bloodshed,&quot; available under the CC-BY-SA License.",5.11111,18
Visigoths vs. Mall Goths,"Publisher's blurb:

Visigoths vs. Mall Goths is a tabletop roleplaying game and dating sim about the conflicts and romances among the warriors who sacked ancient Rome and 20th century spooky teens, set in a suburban Los Angeles shopping mall during 1996. There are a lot of bisexuals.

Imagine a surreal combo of The Craft, Empire Records, Bill &amp; Ted's Excellent Adventure, and Clueless.


     Easy-to-learn rules.



     Detailed mall setting: 2 maps, 17 stores, and 24 NPC clerks.



     For 4-6 character players and 1 facilitator player (&quot;The Mallrat&quot;).



     Simple to play online via video chat.



     Rated PG-13.



     Strange sense of humor required!


The plot structure of Visigoths vs. Mall Goths resembles an open-world videogame RPG. Designed for either one-shot or campaign play, each adventure episode offers several quests that you may choose to pursue (or ignore), and the mall setting is packed with many strange retro marvels to discover. Or you can just replay the game over and over to kiss all the kissable clerks.

Also a LARPer-friendly introduction to tabletop.

Bonus: you can also use this setting and these supporting characters (NPCs) in other roleplaying games! Expand your universe with goths!",8,1
Wanderhome,"Wanderhome is a pastoral fantasy Role-Playing Game about traveling animal-folk, the world they inhabit, and the way the seasons change. It is a game filled with grassy fields, mossy shrines, herds of chubby bumblebees, opossums in sundresses, salamanders with suspenders, starry night skies, and the most beautiful sunsets you can imagine. You might be a tamarin who dances with small and forgotten gods, a leporine mail carrier who relies on moths to get packages where they belong, a little lizard with a big heart and a mysterious past, or a near-endless number of other thrilling possibilities. No matter what, we&rsquo;re always travelers&mdash;animal-folk who go from village to village and get to see the length and breadth of all the world of H&aelig;th. The seasons will change as we play, and we will change with them. But I can&rsquo;t tell you all that will happen on our journey together, along the winding dirt road and amid the grassy fields. We&rsquo;re just going to have to find that out together.

~ from the Kickstarter page",8.19565,23
Warcraft the Roleplaying Game,"This War is Yours to Fight! The #1 fantasy roleplaying game and the #1 fantasy real-time strategy computer game join forces in Dungeons &amp; Dragons Warcraft the Roleplaying Game. This book translates the hugely successful Warcraft&reg; computer game series into a pen-and-paper roleplaying game world based on the popular d20 rules! Requires the use of the revised Dungeons and Dragons&reg; Player's Handbook, Edition 3.5, published by Wizards of the Coast&reg;. Designed with extensive input from the creative minds behind Warcraft, this complete campaign setting includes: 

     9 character races, including humans, night elves, orcs and tauren
     3 new core classes: healer, scout and tinker
     12 new prestige classes, including the blademaster, the elven ranger, the shaman and the warlock
     Detail on the history and geography of the world of Warcraft",5.14706,17
"Warhammer 40,000 Roleplay",,,
